,TRACT,Estimated.Median.Family.Income,Less.Than.High.School,High.School,Some.College,College.Graduate,Graduate.School,Educational.Attainment.Score,X..of.Single.Parent.Households,X..of.Owner.Occupied.Homes,X..of.Population.Speaking.a.Language.Other.than.English,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools,Number.of.School.Age.Children,Estimated.Median.Family.Income.Cumulative.Percentage,Educational.Attainment.Score.Cumulative.Percentage,X..of.Single.Parent.Households.Cumulative.Percentage,X..of.Owner.Occupied.Homes.Cumulative.Percentage,X..of.Population.Speaking.a.Language.Other.than.English.Cumulative.Percentage,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools.Cumulative.Percentage,X6.Factor.Socioeconomic.Score,X6.Factor.Socioeconomic.Tier,income,educ,single,owner,english,isat,tracta,factorsocioeconomictier
678,7504,87651,182,360,816,500,184,0.61,0.26,0.87,0.1,0.86,511,0.94,0.91,0.78,0.96,0.67,0.81,0.8445,4,NA,0.91,0.26,0.96,0.1,0.86,750400,4
679,7505,78250,620,906,"1,401",700,338,0.56,0.52,0.63,0.06,0.78,"1,071",0.92,0.84,0.36,0.77,0.71,0.43,0.6716,4,NA,0.84,0.52,0.77,0.06,0.78,750500,4
680,7506,66826,505,554,829,320,187,0.53,0.66,0.71,0.08,0.77,660,0.83,0.78,0.26,0.83,0.68,0.38,0.6266,3,NA,0.78,0.66,0.83,0.08,0.77,750600,3
681,7608.01,61055,482,870,736,670,343,0.57,0.28,0.25,0.5,0.88,294,0.77,0.86,0.74,0.11,0.4,0.88,0.6258,3,NA,0.86,0.28,0.11,0.5,0.88,760801,3
682,7608.02,66177,349,516,466,166,137,0.51,0.12,0.81,0.5,0.88,171,0.83,0.73,0.99,0.92,0.4,0.88,0.7917,4,NA,0.73,0.12,0.92,0.5,0.88,760802,4
683,7608.03,52143,705,"1,242","1,058",953,481,0.57,0.26,0.45,0.5,0.88,785,0.61,0.86,0.78,0.53,0.4,0.88,0.6784,4,NA,0.86,0.26,0.53,0.5,0.88,760803,4
684,7709.02,73355,538,883,790,310,188,0.51,0.2,0.7,0.47,0.88,417,0.89,0.73,0.9,0.83,0.42,0.88,0.7765,4,NA,0.73,0.2,0.83,0.47,0.88,770902,4
685,8104,84276,375,923,965,760,654,0.62,0.12,0.9,0.24,0.92,957,0.94,0.91,0.99,0.98,0.58,0.97,0.8931,4,NA,0.91,0.12,0.98,0.24,0.92,810400,4
686,8214.02,66691,395,658,899,213,144,0.52,0.56,0.65,0.06,,667,0.83,0.76,0.34,0.79,0.71,1,0.7392,4,NA,0.76,0.56,0.79,0.06,,821402,4
687,8233.04,52965,582,"1,445","1,282",402,152,0.5,0.4,0.64,0.08,0.87,914,0.63,0.71,0.46,0.78,0.68,0.86,0.6846,4,NA,0.71,0.4,0.78,0.08,0.87,823304,4
688,8305,47028,"1,487",560,386,132,39,0.34,0.26,0.58,0.85,0.79,"1,084",0.5,0.08,0.78,0.72,0.05,0.48,0.4346,2,NA,0.08,0.26,0.72,0.85,0.79,830500,2
689,8306,33003,"1,181",741,664,442,181,0.46,0.35,0.32,0.61,0.8,846,0.19,0.54,0.55,0.24,0.3,0.54,0.3946,2,NA,0.54,0.35,0.24,0.61,0.8,830600,2
690,8307,40072,"1,016",575,673,551,321,0.51,0.48,0.36,0.51,0.78,390,0.34,0.73,0.37,0.33,0.4,0.43,0.4337,2,NA,0.73,0.48,0.33,0.51,0.78,830700,2
691,8308,65785,289,193,356,633,348,0.66,0.21,0.18,0.36,0.81,156,0.82,0.94,0.89,0.04,0.5,0.58,0.628,3,NA,0.94,0.21,0.04,0.36,0.81,830800,3
692,8309,50209,700,348,371,463,157,0.5,0.32,0.47,0.57,0.82,305,0.58,0.71,0.62,0.57,0.35,0.63,0.5745,3,NA,0.71,0.32,0.57,0.57,0.82,830900,3
693,8310,114376,242,123,204,807,401,0.71,0.15,0.58,0.2,0.84,141,0.97,0.97,0.96,0.72,0.6,0.75,0.8271,4,NA,0.97,0.15,0.72,0.2,0.84,831000,4
694,8311,54777,"1,750","1,308","1,030",596,260,0.45,0.36,0.39,0.69,0.77,"1,241",0.68,0.51,0.54,0.41,0.23,0.38,0.4586,3,NA,0.51,0.36,0.41,0.69,0.77,831100,3
695,8312,34939,"1,735",612,393,43,52,0.32,0.42,0.37,0.83,0.77,"1,116",0.23,0.03,0.42,0.35,0.06,0.38,0.2443,1,NA,0.03,0.42,0.35,0.83,0.77,831200,1
696,8313,30868,235,337,142,0,32,0.4,0.57,0.49,0.35,0.7,265,0.16,0.29,0.33,0.6,0.51,0.24,0.3532,2,NA,0.29,0.57,0.6,0.35,0.7,831300,2
697,8314,46165,727,454,529,132,118,0.44,0.59,0.36,0.27,0.78,498,0.48,0.48,0.31,0.33,0.56,0.43,0.4313,2,NA,0.48,0.59,0.33,0.27,0.78,831400,2
698,8315,60997,935,709,617,186,147,0.44,0.3,0.7,0.58,0.81,741,0.77,0.48,0.69,0.83,0.34,0.58,0.6128,3,NA,0.48,0.3,0.83,0.58,0.81,831500,3
699,8316,69397,"1,319","1,288","1,211",440,348,0.48,0.33,0.5,0.6,0.82,"1,365",0.86,0.64,0.59,0.62,0.31,0.63,0.609,3,NA,0.64,0.33,0.62,0.6,0.82,831600,3
700,8317,48493,401,413,387,154,74,0.47,0.37,0.55,0.59,0.86,333,0.53,0.59,0.52,0.69,0.33,0.81,0.5785,3,NA,0.59,0.37,0.69,0.59,0.86,831700,3
701,8318,51799,733,903,789,896,612,0.59,0.23,0.43,0.54,0.86,949,0.61,0.87,0.85,0.5,0.37,0.81,0.6684,4,NA,0.87,0.23,0.5,0.54,0.86,831800,4
702,8319,79210,106,222,278,940,517,0.75,0.1,0.42,0.16,0.84,153,0.92,0.98,1,0.47,0.63,0.75,0.7912,4,NA,0.98,0.1,0.47,0.16,0.84,831900,4
703,8320,88005,65,65,209,750,301,0.77,0.05,0.41,0.07,0.89,48,0.94,0.98,1,0.46,0.69,0.91,0.8315,4,NA,0.98,0.05,0.46,0.07,0.89,832000,4
704,8321,69778,296,302,462,832,460,0.67,0.33,0.32,0.26,0.83,166,0.87,0.95,0.59,0.24,0.57,0.7,0.655,4,NA,0.95,0.33,0.24,0.26,0.83,832100,4
705,8322,77105,284,278,470,816,433,0.67,0.21,0.34,0.31,0.82,222,0.91,0.95,0.89,0.29,0.54,0.63,0.6988,4,NA,0.95,0.21,0.29,0.31,0.82,832200,4
706,8323,89679,305,176,223,365,263,0.62,0.14,0.42,0.35,0.83,133,0.95,0.91,0.97,0.47,0.51,0.7,0.7515,4,NA,0.91,0.14,0.47,0.35,0.83,832300,4
707,8324,35489,"1,223",333,304,244,114,0.39,0.28,0.53,0.71,0.82,377,0.24,0.23,0.74,0.66,0.22,0.63,0.4519,2,NA,0.23,0.28,0.66,0.71,0.82,832400,2
708,8325,166851,260,224,326,630,734,0.72,0.24,0.48,0.16,0.79,316,0.99,0.97,0.83,0.58,0.63,0.48,0.7464,4,NA,0.97,0.24,0.58,0.16,0.79,832500,4
709,8326,180821,66,50,220,"1,469",955,0.83,0.11,0.52,0.1,0.81,313,0.99,1,1,0.64,0.67,0.58,0.8128,4,NA,1,0.11,0.64,0.1,0.81,832600,4
710,8329,114263,175,118,252,509,551,0.74,0.13,0.31,0.3,0.63,99,0.97,0.97,0.98,0.22,0.54,0.06,0.624,3,NA,0.97,0.13,0.22,0.3,0.63,832900,3
711,8330,175676,374,293,456,704,545,0.66,0.13,0.61,0.08,0.91,76,0.99,0.94,0.98,0.76,0.68,0.95,0.8823,4,NA,0.94,0.13,0.76,0.08,0.91,833000,4
712,8331,133292,"1,340",594,900,"1,587","1,333",0.63,0.25,0.64,0.11,0.85,336,0.98,0.92,0.8,0.78,0.66,0.78,0.8197,4,NA,0.92,0.25,0.78,0.11,0.85,833100,4
713,8333,57980,187,169,235,370,388,0.69,0.25,0.36,0.49,0.63,112,0.72,0.95,0.8,0.33,0.41,0.06,0.5473,3,NA,0.95,0.25,0.33,0.49,0.63,833300,3
714,8339,21215,739,372,265,76,12,0.36,0.73,0.28,0.48,0.65,659,0.04,0.14,0.19,0.15,0.42,0.11,0.1755,1,NA,0.14,0.73,0.15,0.48,0.65,833900,1
715,8340,40052,578,523,828,135,40,0.46,0.82,0.19,0.03,0.66,771,0.34,0.54,0.06,0.05,0.86,0.15,0.3338,2,NA,0.54,0.82,0.05,0.03,0.66,834000,2
716,8342,42339,628,953,"1,090",383,197,0.51,0.76,0.34,0.05,0.65,827,0.39,0.73,0.15,0.29,0.75,0.11,0.4027,2,NA,0.73,0.76,0.29,0.05,0.65,834200,2
717,8343,57386,854,918,"1,697",651,379,0.55,0.59,0.74,0.06,0.65,"1,027",0.71,0.82,0.31,0.85,0.71,0.11,0.5858,3,NA,0.82,0.59,0.85,0.06,0.65,834300,3
718,8344,52089,765,548,723,323,86,0.47,0.7,0.4,0.04,0.64,736,0.61,0.59,0.23,0.44,0.8,0.09,0.4595,3,NA,0.59,0.7,0.44,0.04,0.64,834400,3
719,8345,27246,273,181,277,51,13,0.44,0.87,0.25,0.06,0.54,365,0.09,0.48,0.02,0.11,0.71,0,0.235,1,NA,0.48,0.87,0.11,0.06,0.54,834500,1
720,8346,30652,743,622,554,184,20,0.42,0.79,0.36,0.05,0.75,804,0.15,0.39,0.1,0.33,0.75,0.33,0.3408,2,NA,0.39,0.79,0.33,0.05,0.75,834600,2
721,8347,25543,586,426,191,17,27,0.36,0.75,0.31,0.02,0.61,452,0.08,0.14,0.17,0.22,0.94,0.03,0.2633,1,NA,0.14,0.75,0.22,0.02,0.61,834700,1
722,8348,34093,594,355,239,20,13,0.35,0.85,0.29,0.03,0.74,370,0.21,0.11,0.02,0.18,0.86,0.31,0.2825,1,NA,0.11,0.85,0.18,0.03,0.74,834800,1
723,8349,26664,543,355,343,17,33,0.39,0.86,0.27,0.06,0.71,508,0.09,0.23,0.02,0.14,0.71,0.26,0.2425,1,NA,0.23,0.86,0.14,0.06,0.71,834900,1
724,8350,49129,"1,161","1,029",846,139,83,0.41,0.57,0.38,0.32,0.65,"1,360",0.55,0.34,0.33,0.39,0.52,0.11,0.3742,2,NA,0.34,0.57,0.39,0.32,0.65,835000,2
725,8351,42773,"1,414",778,516,142,80,0.37,0.34,0.56,0.59,0.79,"1,307",0.41,0.16,0.58,0.7,0.33,0.48,0.4422,2,NA,0.16,0.34,0.7,0.59,0.79,835100,2
726,8352,52015,436,495,348,77,15,0.42,0.27,0.63,0.57,0.89,349,0.61,0.39,0.77,0.77,0.35,0.91,0.632,3,NA,0.39,0.27,0.77,0.57,0.89,835200,3
727,8355,23097,394,397,342,31,21,0.41,0.76,0.28,0.02,0.73,276,0.06,0.34,0.15,0.15,0.94,0.3,0.3227,1,NA,0.34,0.76,0.15,0.02,0.73,835500,1
728,8356,60563,254,209,150,44,12,0.41,0.67,0.32,0.06,0.59,234,0.76,0.34,0.26,0.24,0.71,0.02,0.3879,2,NA,0.34,0.67,0.24,0.06,0.59,835600,2
