,TRACT,Estimated.Median.Family.Income,Less.Than.High.School,High.School,Some.College,College.Graduate,Graduate.School,Educational.Attainment.Score,X..of.Single.Parent.Households,X..of.Owner.Occupied.Homes,X..of.Population.Speaking.a.Language.Other.than.English,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools,Number.of.School.Age.Children,Estimated.Median.Family.Income.Cumulative.Percentage,Educational.Attainment.Score.Cumulative.Percentage,X..of.Single.Parent.Households.Cumulative.Percentage,X..of.Owner.Occupied.Homes.Cumulative.Percentage,X..of.Population.Speaking.a.Language.Other.than.English.Cumulative.Percentage,Weighted.Average.ISAT.Performance.at.Attendance.Area.Schools.Cumulative.Percentage,X6.Factor.Socioeconomic.Score,X6.Factor.Socioeconomic.Tier,income,educ,single,owner,english,isat,tracta,factorsocioeconomictier
774,8416,15572,299,217,109,37,8,0.37,0.79,0.23,0.02,0.66,262,0.02,0.16,0.1,0.09,0.94,0.15,0.2432,1,NA,0.16,0.79,0.09,0.02,0.66,841600,1
775,8417,42550,586,221,128,20,10,0.32,0.58,0.16,0.38,0.67,251,0.39,0.03,0.32,0.04,0.49,0.17,0.2405,1,NA,0.03,0.58,0.04,0.38,0.67,841700,1
776,8418,31984,479,410,433,67,51,0.43,0.78,0.44,0.04,0.65,545,0.18,0.43,0.12,0.52,0.8,0.11,0.3595,2,NA,0.43,0.78,0.52,0.04,0.65,841800,2
777,8419,145842,571,440,652,678,408,0.59,0.16,0.7,0.11,0.7,211,0.99,0.87,0.94,0.83,0.66,0.24,0.7546,4,NA,0.87,0.16,0.83,0.11,0.7,841900,4
778,8420,61001,275,177,309,202,320,0.62,0.32,0.74,0.36,0.84,72,0.77,0.91,0.62,0.85,0.5,0.75,0.7334,4,NA,0.91,0.32,0.85,0.36,0.84,842000,4
779,8421,39372,"1,626","1,202",958,175,32,0.39,0.57,0.48,0.2,0.58,"1,335",0.33,0.23,0.33,0.58,0.6,0.01,0.3482,2,NA,0.23,0.57,0.58,0.2,0.58,842100,2
780,8422,16964,773,403,363,171,149,0.44,0.57,0.47,0.1,0.64,258,0.02,0.48,0.33,0.57,0.67,0.09,0.3584,2,NA,0.48,0.57,0.57,0.1,0.64,842200,2
781,8423,95083,339,463,585,760,335,0.62,0.28,0.5,0.27,0.84,155,0.95,0.91,0.74,0.62,0.56,0.75,0.7541,4,NA,0.91,0.28,0.62,0.27,0.84,842300,4
782,8424,48689,507,546,692,290,125,0.51,0.68,0.61,0.05,0.66,521,0.54,0.73,0.25,0.76,0.75,0.15,0.5267,3,NA,0.73,0.68,0.76,0.05,0.66,842400,3
783,8425,8940,291,401,296,13,18,0.42,0.94,0.12,0.04,0.66,832,0,0.39,0,0.01,0.8,0.15,0.2258,1,NA,0.39,0.94,0.01,0.04,0.66,842500,1
784,8426,32463,938,929,535,110,53,0.4,0.38,0.54,0.36,0.75,828,0.19,0.29,0.49,0.68,0.5,0.33,0.413,2,NA,0.29,0.38,0.68,0.36,0.75,842600,2
785,8428,39579,"2,110","1,155",588,122,56,0.34,0.3,0.4,0.77,0.83,"1,821",0.34,0.08,0.69,0.44,0.14,0.7,0.3986,2,NA,0.08,0.3,0.44,0.77,0.83,842800,2
786,8429,23824,914,350,186,32,25,0.32,0.85,0.15,0.03,0.61,381,0.06,0.03,0.02,0.03,0.86,0.03,0.1738,1,NA,0.03,0.85,0.03,0.03,0.61,842900,1
787,8430,28136,480,393,417,101,0,0.42,0.83,0.17,0.02,0.63,514,0.12,0.39,0.04,0.04,0.94,0.06,0.2655,1,NA,0.39,0.83,0.04,0.02,0.63,843000,1
788,8431,20907,496,309,305,39,9,0.39,0.81,0.25,0.02,0.67,402,0.04,0.23,0.07,0.11,0.94,0.17,0.2613,1,NA,0.23,0.81,0.11,0.02,0.67,843100,1
789,8432,35095,963,286,266,112,76,0.37,0.39,0.31,0.79,0.79,586,0.23,0.16,0.47,0.22,0.1,0.48,0.2782,1,NA,0.16,0.39,0.22,0.79,0.79,843200,1
790,8433,20223,323,217,146,85,9,0.41,0.61,0.25,0.22,0.7,217,0.04,0.34,0.3,0.11,0.59,0.24,0.2688,1,NA,0.34,0.61,0.11,0.22,0.7,843300,1
791,8434,31797,278,283,290,52,0,0.43,0.71,0.38,0,0.78,248,0.17,0.43,0.21,0.39,1,0.43,0.4402,2,NA,0.43,0.71,0.39,0,0.78,843400,2
792,8435,32852,"3,787","1,972","1,804",158,93,0.36,0.31,0.39,0.25,0.83,336,0.19,0.14,0.65,0.41,0.58,0.7,0.4451,2,NA,0.14,0.31,0.41,0.25,0.83,843500,2
793,8436,31193,548,510,479,145,71,0.45,0.72,0.28,0.03,0.61,529,0.16,0.51,0.21,0.15,0.86,0.03,0.3213,1,NA,0.51,0.72,0.15,0.03,0.61,843600,1
794,8437,57307,389,407,331,274,92,0.5,0.2,0.51,0.35,0.89,316,0.71,0.71,0.9,0.63,0.51,0.91,0.7271,4,NA,0.71,0.2,0.63,0.35,0.89,843700,4
795,8438,28958,624,286,287,44,10,0.36,0.56,0.46,0.06,0.64,457,0.13,0.14,0.34,0.55,0.71,0.09,0.3256,1,NA,0.14,0.56,0.55,0.06,0.64,843800,1
796,8439,57803,511,600,"1,026",260,221,0.53,0.73,0.32,0.04,0.6,433,0.72,0.78,0.19,0.24,0.8,0.02,0.4598,3,NA,0.78,0.73,0.24,0.04,0.6,843900,3
